gsi_id,fish_id,collection,mixture_collection,id_source,pbt_brood_year,pbt_brood_collection,repunit_1,prob_1,repunit_2,prob_2,repunit_3,prob_3,repunit_4,prob_4,repunit_5," prob_5",top_collection,top_collection_prob,file_name
401_2021_0_3363,0,WC_Microtrolling(21),removed,Failed to amplify,,,,,,,,,,,,,,,PID20220004(2)_WC_Microtrolling(21)_sc401_2022-05-12.xlsx
401_2021_0_3049,N3049,WC_Microtrolling(21),removed,Failed to amplify,,,,,,,,,,,,,,,PID20220004(2)_WC_Microtrolling(21)_sc401_2022-05-12.xlsx
301_2020_2021_2486,N2486,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2487,N2487,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,THORNTON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2488,N2488,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2489,N2489,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SWVI,99.999970000000005,NoKy,3.0000000000000001E-5,,,,,,,ROBERTSON_CREEK,83.499499999999998,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2527,N2527,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SWVI,99.999870000000001,NoKy,1.2999999999999999E-4,,,,,,,KENNEDY_RIVER-LOWER,99.9983,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2528,N2528,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2544,N2544,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SKAGIT_RIVER,99.590260000000001,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2557,N2557,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2558,N2558,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2631,N2631,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2661,N2661,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NoKy,89.618499999999997,SWVI,10.381500000000001,,,,,,,TAHSIS_RIVER,57.758459999999999,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2662,N2662,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2750,N2750,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NWVI,100,,,,,,,,,MARBLE_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_2751,N2751,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NWVI,100,,,,,,,,,MARBLE_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3158,N3158,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,SR-F,99.974670000000003,UCR-SuF,2.5329999999999998E-2,,,,,,,LYON'S_FERRY,99.974670000000003,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3159,N3159,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3160,N3160,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3161,N3161,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,96.439679999999996,SPS,3.5603199999999999,,,,,,,SNOHOMISH_RIVER,96.288229999999999,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3162,N3162,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,NITINAT_RIVER,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3163,N3163,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3164,N3164,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SKAGIT_RIVER,99.999889999999994,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3165,N3165,WC_microtroll(20-21),WC_microtroll(20-21),GSI,,,NPS,100,,,,,,,,,SNOHOMISH_RIVER,99.944429999999997,2020-21 Microtrol GSI Results_PID20210046.xlsx
301_2020_2021_3166,N3166,WC_microtroll(20-21),WC_microtroll(20-21),PBT,2019,,SWVI,100,,,,,,,,,ROBERTSON_CREEK,100,2020-21 Microtrol GSI Results_PID20210046.xlsx
